Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,168.119995,168.119995,168.119995,168.119995,168.119995,0
2019-09-03,168.220001,168.220001,168.220001,168.220001,168.220001,0
2019-09-04,167.020004,168.940002,167.020004,168.940002,168.940002,24
2019-09-05,170.820007,170.820007,170.820007,170.820007,170.820007,0
2019-09-06,172.419998,172.419998,172.419998,172.419998,172.419998,0
2019-09-09,171.500000,171.500000,171.500000,171.500000,171.500000,6
2019-09-10,169.899994,169.899994,169.899994,169.899994,169.899994,0
2019-09-11,167.960007,167.960007,167.960007,167.960007,167.960007,0
2019-09-12,174.000000,174.000000,174.000000,174.000000,174.000000,11
2019-09-13,168.820007,169.460007,168.820007,169.460007,169.460007,29
2019-09-16,167.100006,168.839996,167.100006,168.839996,168.839996,7
2019-09-17,168.559998,168.559998,168.559998,168.559998,168.559998,0
2019-09-18,169.300003,169.300003,169.300003,169.300003,169.300003,0
2019-09-19,169.479996,169.479996,169.479996,169.479996,169.479996,0
2019-09-20,171.460007,171.460007,171.460007,171.460007,171.460007,0
2019-09-23,171.820007,171.820007,169.600006,169.600006,169.600006,80
2019-09-24,170.220001,170.220001,170.220001,170.220001,170.220001,0
2019-09-25,165.000000,165.000000,165.000000,165.000000,165.000000,0
2019-09-26,165.059998,165.059998,165.059998,165.059998,165.059998,0
2019-09-27,165.339996,165.339996,165.000000,165.000000,165.000000,80
2019-09-30,162.160004,162.160004,162.160004,162.160004,162.160004,0
2019-10-01,163.839996,163.839996,163.839996,163.839996,163.839996,0
2019-10-02,160.699997,160.699997,160.699997,160.699997,160.699997,0
2019-10-04,162.919998,162.919998,162.919998,162.919998,162.919998,0
2019-10-07,163.899994,163.899994,163.580002,163.580002,163.580002,1
2019-10-08,163.580002,163.580002,163.580002,163.580002,163.580002,0
2019-10-09,161.779999,161.779999,161.779999,161.779999,161.779999,0
2019-10-10,164.100006,164.100006,164.100006,164.100006,164.100006,1
2019-10-11,163.960007,163.960007,163.960007,163.960007,163.960007,0
2019-10-14,167.279999,167.279999,167.279999,167.279999,167.279999,0
